province,latitude,longitude
กระบี่,8.0863,98.9063
กรุงเทพมหานคร,13.7563,100.5018
กาญจนบุรี,14.0299,99.523
กาฬสินธุ์,16.4343,103.5091
กำแพงเพชร,16.4827,99.5229
ขอนแก่น,16.4286,102.8636
จันทบุรี,12.6112,102.1036
ฉะเชิงเทรา,13.6904,101.0724
ชลบุรี,13.3611,100.9847
ชัยนาท,15.1857,100.1188
ชัยภูมิ,15.7884,102.0285
ชุมพร,10.4974,99.187
เชียงราย,19.9072,99.8308
เชียงใหม่,18.7904,98.9847
ตรัง,8.5315,99.9563
ตราด,12.2451,102.5176
ตาก,16.8707,99.1286
นครนายก,14.2046,101.2139
นครปฐม,13.8196,100.0443
นครพนม,17.2266,104.9307
นครราชสีมา,14.9799,102.0977
นครศรีธรรมราช,8.4304,99.9637
นครสวรรค์,15.6931,100.122
นนทบุรี,13.8592,100.521
นราธิวาส,6.4275,101.8233
น่าน,18.7751,100.773
บึงกาฬ,18.361,103.6519
บุรีรัมย์,14.9937,103.102
ปทุมธานี,14.0224,100.532
ประจวบคีรีขันธ์,11.8131,99.798
ปราจีนบุรี,14.0519,101.3726
ปัตตานี,6.8698,101.2501
พระนครศรีอยุธยา,14.3537,100.5689
พังงา,8.4501,98.5296
พัทลุง,7.6167,100.0737
พิจิตร,16.4415,100.3488
พิษณุโลก,16.8248,100.2586
เพชรบุรี,13.0992,99.9414
เพชรบูรณ์,16.418,101.1597
แพร่,18.1459,100.1457
ภูเก็ต,7.8804,98.3923
มหาสารคาม,16.032,103.651
มุกดาหาร,16.5388,104.7285
แม่ฮ่องสอน,19.302,97.9656
ยโสธร,15.8036,104.148
ยะลา,6.5377,101.2815
ร้อยเอ็ด,16.0538,103.652
ระนอง,9.9699,98.632
ระยอง,12.6813,101.2817
ราชบุรี,13.5289,99.8136
ลพบุรี,14.7995,100.6534
ลำปาง,18.2856,99.5047
ลำพูน,18.5743,99.0087
เลย,17.4762,101.7227
ศรีสะเกษ,15.1164,104.3293
สกลนคร,17.1553,104.1479
สงขลา,7.1762,100.614
สตูล,6.6167,100.0667
สมุทรปราการ,13.5993,100.5968
สมุทรสงคราม,13.414,100.001
สมุทรสาคร,13.5479,100.2743
สระแก้ว,13.8116,102.0726
สระบุรี,13.6826,100.9228
สิงห์บุรี,14.8938,100.4034
สุโขทัย,17.0056,99.8262
สุพรรณบุรี,14.4744,100.1177
สุราษฎร์ธานี,8.431,99.9645
สุรินทร์,14.8829,103.4932
หนองคาย,17.8784,102.742
หนองบัวลำภู,17.2084,102.414
อ่างทอง,14.5897,100.4552
อำนาจเจริญ,16.012,104.6533
อุดรธานี,17.4045,102.7896
อุตรดิตถ์,17.6243,100.0977
อุทัยธานี,15.3821,100.0243
อุบลราชธานี,15.2284,104.8563
อำนาจเจริญ,16.012,104.6533